"id","sku","name","manufacture_date","features","price","popularity","in_stock","weight","includes","incubation_date","location","url","status","description","keywords","user_id"
1,"GB18030TEST","Test with some GB18030 encoded characters","2006-01-17T00:00:00Z
","No accents here,这是一个功能,This is a feature (translated),这份文件是很有光泽,This document is very shiny (translated)",0,1,"true",5.5,,"2006-01-17T00:00:00Z",,"http://3rud.com/iphone","published","No accents here,这是一个功能,This is a feature (translated),这份文件是很有光泽,This document is very shiny (translated)","electronics,hard drive",1
2,"SP2514N","Samsung SpinPoint P120 SP2514N - hard drive - 250 GB - ATA-133","2007-01-17T00:00:00Z
","7200RPM, 8MB cache, IDE Ultra ATA-133,NoiseGuard, SilentSeek technology, Fluid Dynamic Bearing (FDB) motor",92,6,"true",5.5,,"2006-01-17T00:00:00Z","35.0752,-97.032","http://3rud.com/iphone","draft","7200RPM, 8MB cache, IDE Ultra ATA-133,NoiseGuard, SilentSeek technology, Fluid Dynamic Bearing (FDB) motor","electronics,connector",2
3,"6H500F0","Maxtor DiamondMax 11 - hard drive - 500 GB - SATA-300","2008-01-17T00:00:00Z
","SATA 3.0Gb/s, NCQ,8.5ms seek,16MB cache",350,6,"true",5.5,,"2007-01-17T00:00:00Z","45.17614,-93.87341","http://3rud.com/iphone","published","SATA 3.0Gb/s, NCQ,8.5ms seek,16MB cache","electronics,connector",3
4,"F8V7067-APL-KIT","Belkin Mobile Power Cord for iPod w/ Dock","2009-01-17T00:00:00Z
","car power adapter, white",19.95,1,"false",5.5,,"2007-01-17T00:00:00Z","45.18014,-93.87741","http://3rud.com/iphone","draft","car power adapter, white","electronics,music",4
5,"IW-02","iPod & iPod Mini USB 2.0 Cable","2010-01-17T00:00:00Z
","car power adapter for iPod, white",11.5,1,"false",5.5,,"2008-01-17T00:00:00Z","37.7752,-122.4232","http://3rud.com/iphone","published","car power adapter for iPod, white","electronics,memory",1
6,"MA147LL/A","Apple 60 GB iPod with Video Playback Black","2011-01-17T00:00:00Z
","iTunes, Podcasts, Audiobooks,Stores up to 15,000 songs, 25,000 photos, or 150 hours of video,2.5-inch, 320x240 color TFT LCD display with LED backlight,Up to 20 hours of battery life,Plays AAC, MP3, WAV, AIFF, Audible, Apple Lossless, H.264 video,Notes, Calendar, Phone book, Hold button, Date display, Photo wallet, Built-in games, JPEG photo playback, Upgradeable firmware, USB 2.0 compatibility, Playback speed control, Rechargeable capability, Battery level indication",399,10,"true",5.5,"earbud headphones, USB cable","2008-01-17T00:00:00Z","37.7752,-100.0232","http://3rud.com/iphone","draft","iTunes, Podcasts, Audiobooks,Stores up to 15,000 songs, 25,000 photos, or 150 hours of video,2.5-inch, 320x240 color TFT LCD display with LED backlight,Up to 20 hours of battery life,Plays AAC, MP3, WAV, AIFF, Audible, Apple Lossless, H.264 video,Notes, Calendar, Phone book, Hold button, Date display, Photo wallet, Built-in games, JPEG photo playback, Upgradeable firmware, USB 2.0 compatibility, Playback speed control, Rechargeable capability, Battery level indication","electronics,memory",2
7,"TWINX2048-3200PRO","CORSAIR  XMS 2GB (2 x 1GB) 184-Pin DDR SDRAM Unbuffered DDR 400 (PC 3200) Dual Channel Kit System Memory - Retail","2012-01-17T00:00:00Z
","CAS latency 2,	2-3-3-6 timing, 2.75v, unbuffered, heat-spreader",185,5,"true",5.5,,"2009-01-17T00:00:00Z","37.7752,-122.4232","http://3rud.com/iphone","published","CAS latency 2,	2-3-3-6 timing, 2.75v, unbuffered, heat-spreader","electronics,memory",3
8,"VS1GB400C3","CORSAIR ValueSelect 1GB 184-Pin DDR SDRAM Unbuffered DDR 400 (PC 3200) System Memory - Retail","2013-01-17T00:00:00Z
",,74.99,7,"true",5.5,,"2009-01-17T00:00:00Z","37.7752,-100.0232","http://3rud.com/iphone","draft",,"currency",4
9,"VDBDB1A16","A-DATA V-Series 1GB 184-Pin DDR SDRAM Unbuffered DDR 400 (PC 3200) System Memory - OEM","2014-01-17T00:00:00Z
","CAS latency 3,	 2.7v",0,0,"true",5.59,,"2010-01-17T00:00:00Z","45.18414,-93.88141","http://3rud.com/iphone","published","CAS latency 3,	 2.7v","currency",1
10,"3007WFP","Dell Widescreen UltraSharp 3007WFP","2019-01-17T00:00:00Z
","30"" TFT active matrix LCD, 2560 x 1600, .25mm dot pitch, 700:1 contrast",2199,6,"true",401.68,"USB cable","2012-01-17T00:00:00Z","43.17614,-90.57341","http://3rud.com/iphone","draft","30"" TFT active matrix LCD, 2560 x 1600, .25mm dot pitch, 700:1 contrast","currency",2
11,"VA902B","ViewSonic VA902B - flat panel display - TFT - 19""","2020-01-17T00:00:00Z
","19"" TFT active matrix LCD, 8ms response time, 1280 x 1024 native resolution",279.95,6,"true",190.47,,"2013-01-17T00:00:00Z","45.18814,-93.88541","http://3rud.com/iphone","published","19"" TFT active matrix LCD, 8ms response time, 1280 x 1024 native resolution","currency",3
12,"0579B002","Canon PIXMA MP500 All-In-One Photo Printer","2021-01-17T00:00:00Z
","Multifunction ink-jet color photo printer,Flatbed scanner, optical scan resolution of 1,200 x 2,400 dpi,2.5"" color LCD preview screen,Duplex Copying,Printing speed up to 29ppm black, 19ppm color,Hi-Speed USB,memory card: CompactFlash, Micro Drive, SmartMedia, Memory Stick, Memory Stick Pro, SD Card, and MultiMediaCard",179.99,6,"true",352.58,,"2013-01-17T00:00:00Z","45.19214,-93.89941","http://3rud.com/iphone","draft","Multifunction ink-jet color photo printer,Flatbed scanner, optical scan resolution of 1,200 x 2,400 dpi,2.5"" color LCD preview screen,Duplex Copying,Printing speed up to 29ppm black, 19ppm color,Hi-Speed USB,memory card: CompactFlash, Micro Drive, SmartMedia, Memory Stick, Memory Stick Pro, SD Card, and MultiMediaCard","electronics",4
13,"9885A004","Canon PowerShot SD500","2022-01-17T00:00:00Z
","3x zoop, 7.1 megapixel Digital ELPH,movie clips up to 640x480 @30 fps,2.0"" TFT LCD, 118,000 pixels,built in flash, red-eye reduction",329.95,7,"true",6.49,"32MB SD card, USB cable, AV cable, battery","2014-01-17T00:00:00Z","45.19614,-93.90341","http://3rud.com/iphone","published","3x zoop, 7.1 megapixel Digital ELPH,movie clips up to 640x480 @30 fps,2.0"" TFT LCD, 118,000 pixels,built in flash, red-eye reduction","electronics",1
14,"SOLR1000","Solr, the Enterprise Search Server","2023-01-17T00:00:00Z
","Advanced Full-Text Search Capabilities using Lucene,Optimized for High Volume Web Traffic,Standards Based Open Interfaces - XML and HTTP,Comprehensive HTML Administration Interfaces,Scalability - Efficient Replication to other Solr Search Servers,Flexible and Adaptable with XML configuration and Schema,Good unicode support: héllo (hello with an accent over the e)",0,10,"true",5.56,,"2014-01-17T00:00:00Z",,"http://3rud.com/iphone","draft","Advanced Full-Text Search Capabilities using Lucene,Optimized for High Volume Web Traffic,Standards Based Open Interfaces - XML and HTTP,Comprehensive HTML Administration Interfaces,Scalability - Efficient Replication to other Solr Search Servers,Flexible and Adaptable with XML configuration and Schema,Good unicode support: héllo (hello with an accent over the e)","electronics,multifunction printer,printer,scanner,copier",2
15,"UTF8TEST","Test with some UTF-8 encoded characters","2024-01-17T00:00:00Z
","No accents here,This is an e acute: é,eaiou with circumflexes: êâîôû,eaiou with umlauts: ëäïöü,tag with escaped chars: <nicetag/>,escaped ampersand: Bonnie & Clyde,Outside the BMP:𐌈 codepoint=10308, a circle with an x inside. UTF8=f0908c88 UTF16=d800 df08",0,1,"true",5.54,,"2015-01-17T00:00:00Z",,"http://3rud.com/iphone","published","No accents here,This is an e acute: é,eaiou with circumflexes: êâîôû,eaiou with umlauts: ëäïöü,tag with escaped chars: <nicetag/>,escaped ampersand: Bonnie & Clyde,Outside the BMP:𐌈 codepoint=10308, a circle with an x inside. UTF8=f0908c88 UTF16=d800 df08","electronics,camera",3
16,"EN7800GTX/2DHTV/256M","ASUS Extreme N7800GTX/2DHTV (256 MB)","2025-01-17T00:00:00Z
","NVIDIA GeForce 7800 GTX GPU/VPU clocked at 486MHz,256MB GDDR3 Memory clocked at 1.35GHz,PCI Express x16,Dual DVI connectors, HDTV out, video input,OpenGL 2.0, DirectX 9.0",479.95,7,"false",16,,"2015-01-17T00:00:00Z","40.7143,-74.006","http://3rud.com/iphone","draft","NVIDIA GeForce 7800 GTX GPU/VPU clocked at 486MHz,256MB GDDR3 Memory clocked at 1.35GHz,PCI Express x16,Dual DVI connectors, HDTV out, video input,OpenGL 2.0, DirectX 9.0","software,search",4
17,"100-435805","ATI Radeon X1900 XTX 512 MB PCIE Video Card","2026-01-17T00:00:00Z
","ATI RADEON X1900 GPU/VPU clocked at 650MHz,512MB GDDR3 SDRAM clocked at 1.55GHz,PCI Express x16,dual DVI, HDTV, svideo, composite out,OpenGL 2.0, DirectX 9.0",649.99,7,"false",48,,"2016-01-17T00:00:00Z","40.7143,-74.006","http://3rud.com/iphone","published","ATI RADEON X1900 GPU/VPU clocked at 650MHz,512MB GDDR3 SDRAM clocked at 1.55GHz,PCI Express x16,dual DVI, HDTV, svideo, composite out,OpenGL 2.0, DirectX 9.0","software,search",2
